GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;158;Stäfa;;https://oerebdocs.zh.ch/getDoc?docid=6111;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6111;True;;;
ZH;159;Uetikon am See;;https://oerebdocs.zh.ch/getDoc?docid=5991;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5991;True;;;
ZH;160;Zumikon;;https://oerebdocs.zh.ch/getDoc?docid=4798;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=4798;True;;;
ZH;161;Zollikon;;https://oerebdocs.zh.ch/getDoc?docid=1611;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1611;True;;;
ZH;172;Fehraltorf;;https://oerebdocs.zh.ch/getDoc?docid=6886;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6886;True;;;
ZH;173;Hittnau;;https://oerebdocs.zh.ch/getDoc?docid=12817;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12817;True;;;
ZH;176;Lindau;;https://oerebdocs.zh.ch/getDoc?docid=5384;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5384;True;;;
ZH;177;Pfäffikon;;https://oerebdocs.zh.ch/getDoc?docid=8899;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8899;True;;;
ZH;178;Russikon;;https://oerebdocs.zh.ch/getDoc?docid=12135;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12135;True;;;
ZH;180;Weisslingen;;https://oerebdocs.zh.ch/getDoc?docid=5510;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5510;True;;;
ZH;181;Wila;;https://oerebdocs.zh.ch/getDoc?docid=12843;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12843;True;;;
ZH;182;Wildberg;;https://oerebdocs.zh.ch/getDoc?docid=12824;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12824;True;;;
ZH;191;Dübendorf;;https://oerebdocs.zh.ch/getDoc?docid=99;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=99;True;;;
ZH;192;Egg;;https://oerebdocs.zh.ch/getDoc?docid=8223;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8223;True;;;
ZH;193;Fällanden;;https://oerebdocs.zh.ch/getDoc?docid=1964;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1964;True;;;
ZH;194;Greifensee;;https://www.greifensee.ch/_docn/4502047/700.1_Bau-_und_Zonenordnung.pdf;True;True;True;True;False;None;None;False;;False;;;
ZH;195;Maur;;https://oerebdocs.zh.ch/getDoc?docid=7860;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7860;True;;;
